Status	From-Table	To-Table	Total-Rows	Migrated-Rows	Success-Rate	Duration(DD:HH:MM:SS:MS)	Error-Messages
Completed	beraudent.abono_cargo	beraudent.dbo.abono_cargo	0	0	100,00 %	00:00:00:01:649	
Completed	beraudent.administrativo	beraudent.dbo.administrativo	0	0	100,00 %	00:00:00:01:545	
Completed	beraudent.arancel	beraudent.dbo.arancel	0	0	100,00 %	00:00:00:01:632	
Completed	beraudent.cancelacion	beraudent.dbo.cancelacion	0	0	100,00 %	00:00:00:01:646	
Completed	beraudent.cliente	beraudent.dbo.cliente	0	0	100,00 %	00:00:00:01:541	
Completed	beraudent.comision	beraudent.dbo.comision	0	0	100,00 %	00:00:00:01:545	
Completed	beraudent.comprobante	beraudent.dbo.comprobante	0	0	100,00 %	00:00:00:01:645	
Completed	beraudent.datos_facturacion	beraudent.dbo.datos_facturacion	0	0	100,00 %	00:00:00:01:632	
Completed	beraudent.detalle_item_arancel	beraudent.dbo.detalle_item_arancel	0	0	100,00 %	00:00:00:01:650	
Completed	beraudent.docped	beraudent.dbo.docped	0	0	100,00 %	00:00:00:01:643	
Completed	beraudent.grupo	beraudent.dbo.grupo	0	0	100,00 %	00:00:00:00:071	
Completed	beraudent.grupo_cancelacion	beraudent.dbo.grupo_cancelacion	0	0	100,00 %	00:00:00:00:079	
Completed	beraudent.item	beraudent.dbo.item	0	0	100,00 %	00:00:00:00:087	
Completed	beraudent.item_trabajo	beraudent.dbo.item_trabajo	0	0	100,00 %	00:00:00:00:128	
Completed	beraudent.odontologo	beraudent.dbo.odontologo	0	0	100,00 %	00:00:00:00:135	
Completed	beraudent.orden_trabajo	beraudent.dbo.orden_trabajo	0	0	100,00 %	00:00:00:00:063	
Completed	beraudent.paciente	beraudent.dbo.paciente	0	0	100,00 %	00:00:00:00:070	
Completed	beraudent.pago	beraudent.dbo.pago	0	0	100,00 %	00:00:00:00:077	
Completed	beraudent.pago_comprobante	beraudent.dbo.pago_comprobante	0	0	100,00 %	00:00:00:00:148	
Completed	beraudent.personal	beraudent.dbo.personal	0	0	100,00 %	00:00:00:00:129	
Completed	beraudent.prestacion	beraudent.dbo.prestacion	0	0	100,00 %	00:00:00:00:086	
Completed	beraudent.prestacion_trabajo	beraudent.dbo.prestacion_trabajo	0	0	100,00 %	00:00:00:00:065	
Completed	beraudent.sucursal	beraudent.dbo.sucursal	0	0	100,00 %	00:00:00:00:073	
Completed	beraudent.sucursal_odontologo	beraudent.dbo.sucursal_odontologo	0	0	100,00 %	00:00:00:00:043	
Completed	beraudent.trabajo	beraudent.dbo.trabajo	0	0	100,00 %	00:00:00:00:054	
Completed	beraudent.trabajo_abono_cargo	beraudent.dbo.trabajo_abono_cargo	0	0	100,00 %	00:00:00:00:071	
Completed	beraudent.trabajo_has_comision	beraudent.dbo.trabajo_has_comision	0	0	100,00 %	00:00:00:00:031	
Completed	beraudent.trabajo_has_grupo	beraudent.dbo.trabajo_has_grupo	0	0	100,00 %	00:00:00:00:019	
Completed	beraudent.trabajo_realizado	beraudent.dbo.trabajo_realizado	0	0	100,00 %	00:00:00:00:058	
Completed	beraudent.ubicacion	beraudent.dbo.ubicacion	0	0	100,00 %	00:00:00:00:051	
Completed	beraudent.usuario	beraudent.dbo.usuario	2	2	100,00 %	00:00:00:00:630	
